% 1. Title: 2015 NCAA Basketball Season
%
% 2. Sources:
%      (a) Creator: Reed Wilson
%      (b) Date: March 9, 2015

@relation 2015

@attribute location                           { h, a, n }
@attribute points_for                         real
@attribute points_against                     real
@attribute field_goal_percent                 real
@attribute free_throw_percent                 real
@attribute three_point_percent                real
@attribute efficient_field_goal_percent       real
@attribute points_per_weighted_shot           real
@attribute turnover_rate                      real
@attribute blocks                             real
@attribute fouls                              real
@attribute offensive_rebounds                 real
@attribute total_rebounds                     real
@attribute steals                             real
@attribute assists                            real
@attribute possessions                        real
@attribute offensive_points_per_possession    real
@attribute defensive_points_per_possession    real
@attribute outcome                            { w, l }

@data
h,86,72,55.2,55.0,45.8,64.7,1.27,9.4,3,13,10,33,2,16,64,1.35,1.05,w
a,84,75,43.9,84.2,55.6,51.5,1.12,14.9,3,21,12,32,6,24,74,1.14,1.01,w
h,83,78,48.4,75.0,29.4,52.4,1.13,14.6,6,20,9,37,8,20,75,1.10,1.01,w
h,81,75,49.1,62.5,38.5,53.5,1.12,13.5,2,19,8,34,3,19,74,1.09,1.04,w
h,81,63,55.6,66.7,31.2,60.2,1.24,18.3,1,15,12,39,7,21,65,1.24,0.96,w
h,79,62,50.8,68.8,46.2,55.7,1.15,17.2,8,23,11,38,5,16,70,1.14,0.82,w
h,79,50,52.9,70.0,55.0,63.7,1.31,19.5,4,19,11,34,8,15,62,1.29,0.80,w
h,78,62,47.0,53.3,36.4,53.0,1.07,13.0,2,15,13,37,6,18,69,1.13,0.90,w
h,77,58,44.8,50.0,45.8,53.0,1.06,14.9,4,12,10,45,2,20,74,1.05,0.00,w
a,76,74,48.2,65.2,29.2,54.5,1.14,22.6,3,22,12,35,7,14,71,1.07,1.06,w
h,74,64,38.2,73.3,41.7,47.3,1.07,12.1,3,18,11,35,3,10,66,1.12,0.99,w
h,72,50,47.5,92.3,28.6,50.8,1.10,23.8,7,20,14,49,4,10,67,1.07,0.70,w
a,71,68,41.4,76.2,35.0,47.4,1.04,14.8,4,16,16,35,7,12,61,1.16,1.10,w
a,71,58,45.5,69.6,45.5,50.0,1.08,21.8,2,20,12,36,8,13,69,1.03,0.85,w
a,67,75,43.5,46.7,28.6,48.4,0.97,17.6,5,21,13,31,6,13,68,0.98,1.13,l
a,67,86,47.5,46.7,50.0,50.8,1.01,13.2,3,25,7,27,3,16,68,0.98,1.28,l
a,67,51,39.4,47.1,25.0,44.7,0.90,12.8,11,11,13,47,3,20,70,0.96,0.73,w
a,65,59,43.1,65.4,44.4,47.1,1.03,18.1,5,17,9,36,8,12,66,0.98,0.87,w
a,64,80,37.7,75.0,20.0,40.2,0.91,14.6,2,22,12,31,8,6,69,0.93,1.27,l
h,63,69,40.4,66.7,41.2,47.1,1.02,16.2,1,16,5,25,8,11,68,0.93,1.05,l
h,63,51,42.9,62.5,27.8,47.3,0.99,18.9,1,12,12,38,9,18,64,0.99,0.00,w
h,62,76,36.9,69.2,23.8,40.8,0.87,10.0,6,14,8,28,7,14,70,0.88,1.11,l
h,62,63,35.6,75.0,34.8,42.4,0.93,9.7,2,16,11,32,3,9,62,1.01,1.02,l
n,62,47,37.0,63.0,33.3,41.7,0.93,24.7,7,25,12,41,8,14,73,0.85,0.65,w
n,58,43,41.5,66.7,28.6,45.3,0.96,22.5,5,16,5,35,11,15,71,0.82,0.61,w
a,57,71,37.0,64.3,50.0,44.4,0.94,23.3,5,15,8,35,4,13,69,0.83,1.01,l
a,54,48,32.1,76.2,11.1,33.9,0.82,16.1,5,13,14,39,8,4,62,0.87,0.74,w
h,54,53,34.5,66.7,8.3,36.2,0.81,8.5,5,9,13,31,1,8,59,0.92,0.98,w
a,54,71,46.0,87.5,14.3,47.0,1.00,25.5,3,14,7,21,3,11,63,0.86,1.14,l
a,50,63,40.0,87.5,41.2,47.8,1.02,29.1,0,16,5,27,4,13,62,0.81,0.96,l
h,49,36,51.2,66.7,16.7,54.9,1.12,27.9,6,16,5,26,4,15,54,0.91,0.00,w
n,45,59,27.3,66.7,25.0,30.0,0.71,16.3,2,14,7,26,6,9,68,0.67,0.91,l
h,91,86,46.9,75.0,35.0,52.3,1.15,11.5,4,27,10,34,7,14,78,1.16,1.11,w
h,80,78,37.1,68.8,30.0,41.4,0.94,7.5,6,20,11,42,9,12,80,1.00,0.95,w
a,77,71,50.8,60.0,33.3,55.1,1.12,23.1,4,22,12,37,3,12,74,1.05,0.95,w
h,76,71,37.3,70.6,42.1,44.1,1.01,14.1,3,28,14,36,6,11,71,1.07,1.03,w
h,71,81,43.8,78.8,21.4,46.9,1.12,18.9,6,26,8,25,3,8,69,1.03,1.22,l
h,65,74,42.3,55.6,57.9,52.9,1.07,21.7,4,17,10,29,6,14,65,1.01,1.16,l
a,65,69,42.0,82.4,47.4,51.0,1.12,14.7,3,13,6,31,3,8,61,1.06,1.11,l
a,65,60,37.3,100.0,52.9,44.9,1.00,21.3,3,16,13,33,4,18,66,0.99,0.98,w
a,64,62,47.9,76.5,50.0,53.1,1.14,20.9,4,17,7,26,6,12,62,1.03,1.01,w
