% 1. Title: 2015 NCAA Basketball Tournament Matchups
%
% 2. Sources:
%      (a) Creator: Reed Wilson
%      (b) Date: April 4, 2015

@relation matchups

@attribute location                               { h, a, n }
@attribute points_for                             real
@attribute points_against                         real
@attribute field_goal_percent                     real
@attribute free_throw_percent                     real
@attribute three_point_percent                    real
@attribute efficient_field_goal_percent           real
@attribute points_per_weighted_shot               real
@attribute turnover_rate                          real
@attribute blocks                                 real
@attribute fouls                                  real
@attribute offensive_rebounds                     real
@attribute total_rebounds                         real
@attribute steals                                 real
@attribute assists                                real
@attribute possessions                            real
@attribute offensive_points_per_possession        real
@attribute defensive_points_per_possession        real
@attribute opp_points_for                         real
@attribute opp_points_against                     real
@attribute opp_field_goal_percent                 real
@attribute opp_free_throw_percent                 real
@attribute opp_three_point_percent                real
@attribute opp_efficient_field_goal_percent       real
@attribute opp_points_per_weighted_shot           real
@attribute opp_turnover_rate                      real
@attribute opp_blocks                             real
@attribute opp_fouls                              real
@attribute opp_offensive_rebounds                 real
@attribute opp_total_rebounds                     real
@attribute opp_steals                             real
@attribute opp_assists                            real
@attribute opp_possessions                        real
@attribute opp_offensive_points_per_possession    real
@attribute opp_defensive_points_per_possession    real
@attribute outcome                                { w, l }

@data
n,62.3793103448,68.1724137931,40.7206896552,62.3827586207,29.1931034483,45.4793103448,0.977931034483,20.5275862069,4.44827586207,21.2068965517,10.1724137931,33.5517241379,6.10344827586,10.1379310345,67.1379310345,0.924827586207,0.975172413793,74.6451612903,53.3548387097,46.9322580645,71.0096774194,34.0258064516,51.8290322581,1.11451612903,15.9193548387,6.90322580645,16.935483871,11.7419354839,35.6774193548,6.77419354839,14.8387096774,66.0322580645,1.13064516129,0.804838709677,l
n,62.5161290323,55.2258064516,45.6870967742,66.9258064516,33.7483870968,50.8451612903,1.07709677419,20.1709677419,5.48387096774,14.6774193548,9.70967741935,31.1612903226,6.70967741935,12.0322580645,61.0322580645,1.03064516129,0.897419354839,70.8064516129,64.4838709677,45.9677419355,66.2612903226,32.4774193548,51.3322580645,1.09322580645,19.1612903226,5.35483870968,19.0,10.064516129,33.1612903226,5.70967741935,15.0322580645,67.8064516129,1.04419354839,0.945806451613,w
n,74.064516129,66.4193548387,41.1,65.1129032258,32.2806451613,46.5064516129,1.00516129032,17.8193548387,2.83870967742,23.2258064516,14.5806451613,33.1612903226,11.064516129,14.3870967742,72.1935483871,1.02935483871,0.946129032258,74.7666666667,68.0666666667,43.5266666667,73.4166666667,33.7,48.7533333333,1.06833333333,16.07,4.0,18.4333333333,10.6666666667,34.5333333333,7.66666666667,13.3333333333,70.8333333333,1.056,0.966333333333,w
n,69.6774193548,63.0967741935,43.864516129,75.7677419355,37.064516129,51.0903225806,1.12129032258,17.6967741935,4.29032258065,16.4193548387,7.74193548387,32.4193548387,4.90322580645,10.8387096774,66.4193548387,1.05161290323,0.942580645161,70.3125,59.75,46.2625,67.80625,38.403125,52.68125,1.10625,18.63125,4.6875,16.59375,10.03125,34.09375,5.96875,13.21875,65.96875,1.065625,0.8359375,w
n,69.8387096774,61.0,44.5870967742,67.7741935484,36.8290322581,49.7935483871,1.06419354839,16.4451612903,2.90322580645,17.3548387097,9.87096774194,32.5806451613,6.32258064516,11.5483870968,67.3225806452,1.04161290323,0.920322580645,67.9677419355,60.3548387097,43.9064516129,71.5290322581,34.3161290323,49.6419354839,1.07258064516,19.2,7.93548387097,16.2580645161,10.8064516129,37.064516129,3.67741935484,12.9677419355,65.6129032258,1.03709677419,0.910967741935,w
n,69.71875,55.8125,44.790625,67.315625,35.215625,51.18125,1.0859375,14.1625,3.8125,16.65625,10.125,32.03125,7.03125,13.90625,63.28125,1.10375,0.855,77.9677419355,71.8064516129,47.5774193548,70.6580645161,41.0064516129,55.7483870968,1.16580645161,16.3419354839,3.0,17.3870967742,9.64516129032,32.7741935484,5.0,14.0322580645,69.0322580645,1.13161290323,1.0464516129,w
n,71.9032258065,65.0967741935,44.1064516129,70.6935483871,36.7225806452,49.5967741935,1.08258064516,17.9548387097,5.06451612903,17.6129032258,10.6451612903,35.3548387097,6.51612903226,13.5161290323,68.1935483871,1.0564516129,0.955483870968,68.4838709677,59.4838709677,46.5064516129,68.8870967742,36.9741935484,51.2225806452,1.09774193548,21.5838709677,3.64516129032,15.935483871,11.7096774194,33.4516129032,6.32258064516,11.8709677419,64.7419354839,1.05806451613,0.863225806452,w
n,71.6774193548,55.7419354839,47.8709677419,76.3806451613,35.264516129,54.264516129,1.15838709677,12.2225806452,3.61290322581,12.4516129032,8.41935483871,31.4516129032,4.45161290323,12.3548387097,60.8709677419,1.17709677419,0.913225806452,71.7058823529,61.5882352941,44.3235294118,69.1411764706,36.8529411765,50.4176470588,1.08029411765,17.6911764706,3.38235294118,16.4411764706,11.3235294118,36.5588235294,7.05882352941,11.3823529412,67.4411764706,1.06794117647,0.863529411765,w
n,79.0322580645,70.5161290323,45.1548387097,71.3935483871,35.4193548387,50.7677419355,1.08806451613,16.0806451613,4.87096774194,18.5806451613,11.5806451613,33.0967741935,8.0,16.8387096774,72.8387096774,1.08387096774,0.967419354839,67.0,59.6666666667,46.2909090909,67.0,37.4909090909,52.4666666667,1.10727272727,16.6,2.36363636364,17.0606060606,7.69696969697,29.6666666667,6.66666666667,13.5151515152,63.6666666667,1.05636363636,0.884848484848,w
n,78.1612903226,68.1935483871,47.3451612903,70.3806451613,33.9548387097,51.1516129032,1.08580645161,17.0580645161,4.61290322581,19.3548387097,12.0967741935,37.8387096774,6.83870967742,17.6774193548,72.3225806452,1.07903225806,0.954838709677,64.5714285714,57.4642857143,43.7321428571,72.6642857143,35.425,48.45,1.055,18.1357142857,4.64285714286,15.6428571429,9.32142857143,32.3214285714,7.14285714286,12.9285714286,63.8214285714,1.01428571429,0.846428571429,w
